#nrNodes nrCollisions nrTransmissions OverallEnergy
500 98 1718 299.097587712
500 89 1668 290.39276851200003
500 70 1626 283.0807203840001
500 87 1704 296.660238336
500 95 1651 287.433129984
500 88 1637 284.995780608
500 75 1583 275.59457587200006
500 71 1673 291.26325043200006
500 80 1660 288.9999974400001
500 79 1702 296.31204556800003
500 86 1614 280.991563776
500 78 1604 279.25059993600007
500 77 1804 314.0698767360001
500 72 1674 291.43734681600006
500 80 1715 298.5752985600001
500 81 1621 282.21023846400004
500 57 1691 294.39698534400003
500 77 1612 280.64337100800003
500 66 1656 288.30361190400004
500 64 1576 274.37590118400004
500 68 1689 294.04879257600004
500 78 1789 311.458430976
500 70 1742 303.27590092800006
500 76 1718 299.097587712
1000 317 3289 572.6030069760001
1000 392 3498 608.9891512320002
1000 308 3149 548.2295132160001
1000 338 3277 570.513850368
1000 304 3321 578.174091264
1000 353 3392 590.5349345280001
1000 294 3266 568.5987901440001
1000 337 3367 586.1825249280001
1000 274 3240 564.0722841600001
1000 313 3384 589.142163456
1000 343 3498 608.9891512320002
1000 299 3206 558.153007104
1000 310 3515 611.9487897600001
1000 345 3388 589.8385489920001
1000 341 3284 571.7325250560001
1000 302 3222 560.9385492480001
1000 283 3245 564.9427660800001
1000 329 3344 582.178308096
1000 367 3439 598.7174645760001
1000 352 3493 608.1186693120001
1000 334 3347 582.700597248
1000 349 3469 603.9403560960001
1000 333 3355 584.0933683200001
1000 298 3175 552.7560192000001
1000 328 3347 582.700597248
1000 304 3368 586.356621312
1000 332 3393 590.7090309120001
1000 360 3394 590.8831272960001
1000 341 3458 602.0252958720001
1000 305 3365 585.83433216
1000 408 3496 608.640958464
1000 343 3373 587.2271032320001
1000 315 3440 598.89156096
1000 296 3296 573.821681664
1000 295 3223 561.1126456320001
1000 341 3343 582.004211712
1000 296 3244 564.7686696960001
1000 335 3220 560.59035648
1000 324 3454 601.328910336
1000 348 3319 577.825898496
1000 329 3321 578.174091264
1000 330 3330 579.74095872
1000 311 3317 577.477705728
1000 340 3370 586.70481408
1000 313 3439 598.7174645760001
1000 304 3363 585.486139392
1000 270 3159 549.9704770560002
1000 322 3367 586.1825249280001
1000 331 3387 589.664452608
1000 353 3401 592.1018019840001
1000 367 3528 614.2120427520001
1000 370 3494 608.2927656960001
1000 302 3272 569.643368448
1000 291 3254 566.509633536
1000 326 3376 587.7493923840001
1000 268 3244 564.7686696960001
1000 326 3418 595.0614405120001
1000 309 3186 554.671079424
1000 351 3280 571.0361395200001
1000 308 3227 561.809031168
1000 354 3435 598.0210790400001
1000 312 3306 575.5626455040001
1000 302 3361 585.137946624
1000 283 3289 572.6030069760001
1000 351 3347 582.700597248
1000 308 3278 570.6879467520001
1000 339 3336 580.7855370240001
1000 346 3396 591.2313200640001
1000 278 3122 543.528910848
1000 277 3188 555.019272192
1000 319 3397 591.4054164480001
1000 304 3380 588.4457779200001
1000 365 3469 603.9403560960001
1000 350 3390 590.1867417600001
1000 280 3253 566.335537152
1000 340 3386 589.4903562240002
1000 343 3300 574.5180672
1000 333 3431 597.324693504
1000 324 3372 587.053006848
1000 333 3353 583.7451755520001
1000 287 3354 583.9192719360001
1000 356 3377 587.9234887680001
1000 305 3319 577.825898496
1000 343 3366 586.008428544
1000 272 3132 545.2698746880001
1000 365 3413 594.1909585920001
1000 368 3473 604.636741632
1000 323 3319 577.825898496
1000 307 3203 557.630717952
1000 340 3384 589.142163456
1000 315 3411 593.8427658240001
1000 282 3174 552.5819228160001
1000 273 2989 520.3740917760001
1000 339 3350 583.2228864000001
1000 336 3389 590.012645376
1000 344 3427 596.6283079680001
1000 327 3470 604.1144524800001
1000 324 3347 582.700597248
1000 311 3360 584.9638502400002
1000 302 3385 589.31625984
2000 1136 6506 1132.671074304
2000 1300 6768 1178.284326912
2000 1402 6977 1214.6704711680002
2000 1228 6697 1165.9234836480002
2000 1304 6960 1211.71083264
2000 1258 6741 1173.5837245440002
2000 1336 6893 1200.0463749120001
2000 1213 6678 1162.6156523520003
2000 1248 6617 1151.9957729280002
2000 1224 6833 1189.6005918720002
2000 1311 6861 1194.475290624
2000 1339 6774 1179.328905216
2000 1136 6642 1156.348182528
2000 1262 6907 1202.483724288
2000 1286 6712 1168.5349294080002
2000 1295 6840 1190.8192665600002
2000 1267 6670 1161.2228812800001
2000 1237 6597 1148.513845248
2000 1259 6665 1160.3523993600002
2000 1251 6646 1157.044568064
2000 1346 6980 1215.1927603200002
2000 1284 6935 1207.3584230400002
2000 1210 6536 1137.8939658240001
2000 1124 6508 1133.019267072
2000 1113 6547 1139.809026048
2000 1288 6572 1144.1614356480002
